Accession	Gene_name	Protein_name
Q9NTZ6	RBM12;KIAA0765;HRIHFB2091	RNA-binding protein 12
Q9NU22	MDN1;KIAA0301	Midasin
Q9NU63	ZFP57;C6orf40;ZNF698	Zinc finger protein 57 homolog
Q9NUJ1	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial
Q9NUL3	STAU2	Double-stranded RNA-binding protein Staufen homolog 2
Q9NUP9	LIN7C;MALS3;VELI3	Protein lin-7 homolog C
Q9NUQ2	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
Q9NUQ3	TXLNG;CXorf15;ELRG;LSR5	Gamma-taxilin
Q9NUQ9	FAM49B;BM-009	Protein FAM49B
Q9NV06	DCAF13;WDSOF1;HSPC064	DDB1- and CUL4-associated factor 13
Q9NV52	NA	Torsin-1A-interacting protein 1
Q9NV88	INTS9;RC74	Integrator complex subunit 9
Q9NV96	TMEM30A;C6orf67;CDC50A	Cell cycle control protein 50A
Q9NV96-1	TMEM30A 	Cell cycle control protein 50A
Q9NVA2	Sep-11	Septin-11
Q9NVC6	MED17;ARC77;CRSP6;DRIP77;DRIP80;TRAP80	Mediator of RNA polymerase II transcription subunit 17
Q9NVD7	PARVA;MXRA2	Alpha-parvin
Q9NVH1	DNAJC11	DnaJ homolog subfamily C member 11
Q9NVH1-3	DNAJC11	Isoform 3 of DnaJ homolog subfamily C member 11
Q9NVI1	FANCI;KIAA1794	Fanconi anemia group I protein
Q9NVI7	ATAD3A	ATPase family AAA domain-containing protein 3A
Q9NVI7-2	ATAD3A	Isoform 2 of ATPase family AAA domain-containing protein 3A
Q9NVJ2	ARL8B;ARL10C;GIE1	ADP-ribosylation factor-like protein 8B
Q9NVM1	EVA1B;C1orf78;FAM176B	Protein eva-1 homolog B
Q9NVM4	PRMT7;KIAA1933	Protein arginine N-methyltransferase 7
Q9NVN8	GNL3L	Guanine nucleotide-binding protein-like 3-like protein
Q9NVR0	KLHL11	Kelch-like protein 11
Q9NVR5	DNAAF2;C14orf104;KTU	Protein kintoun
Q9NVS2	MRPS18A	28S ribosomal protein S18a, mitochondrial
Q9NVS9	PNPO	Pyridoxine-5'-phosphate oxidase
Q9NVT9	ARMC1;ARCP	Armadillo repeat-containing protein 1
Q9NVZ7	NA	Nucleoporin NDC1
Q9NW15	ANO10;TMEM16K	Anoctamin-10
Q9NWB3	NA	cDNA FLJ10159 fis, clone HEMBA1003528
Q9NWQ8	PAG1;CBP;PAG	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q9NWS1	PARPBP;C12orf48;PARI	PCNA-interacting partner
Q9NWS8-1	RMND1 	Required for meiotic nuclear division protein 1 homolog
Q9NWT0	LAMTOR1; C11orf59; PDRO	Ragulator complex protein LAMTOR1
Q9NWV2	NA	Zinc finger protein 770
Q9NWW0	HCFC1R1;HPIP	Host cell factor C1 regulator 1
Q9NX14	NDUFB11;UNQ111/PRO1064	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial
Q9NX31	OSER1;C20orf111;BM-038;HSPC168;HSPC207	Oxidative stress-responsive serine-rich protein 1
Q9NX40	OCIAD1;OCIA	OCIA domain-containing protein 1
Q9NX40-1	OCIAD1 	OCIA domain-containing protein 1
Q9NX47	MARCH5;RNF153	E3 ubiquitin-protein ligase MARCH5
Q9NX58	LYAR;PNAS-5	Cell growth-regulating nucleolar protein
Q9NX61	TMEM161A;UNQ582/PRO1152	Transmembrane protein 161A
Q9NX62	IMPAD1;IMPA3	Inositol monophosphatase 3
Q9NX63	CHCHD3;MINOS3	Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial
Q9NXC5	MIOS	WD repeat-containing protein mio
Q9NXD6	NA	RNA demethylase ALKBH5
Q9NXE4	SMPD4;KIAA1418	Sphingomyelin phosphodiesterase 4
Q9NXI3	NA	cDNA FLJ20232 fis, clone COLF5593
Q9NXR7	BRE;BRCC45	BRCA1-A complex subunit BRE
Q9NXS2	QPCTL	Glutaminyl-peptide cyclotransferase-like protein
Q9NY15	STAB1;FEEL1;KIAA0246	Stabilin-1
Q9NY33	DPP3	Dipeptidyl peptidase 3
Q9NY35	CLDND1;C3orf4;HSPC174;PSEC0054;UNQ2511/PRO6000	Claudin domain-containing protein 1
Q9NY47	CACNA2D2;KIAA0558	Voltage-dependent calcium channel subunit alpha-2/delta-2
Q9NY65	TUBA8;TUBAL2	Tubulin alpha-8 chain
Q9NYC9	DNAH9;DNAH17L;DNAL1;KIAA0357	Dynein heavy chain 9, axonemal
Q9NYI2	THEM6; C8orf55	Protein THEM6
Q9NYL4	FKBP11;FKBP19;UNQ336/PRO535	Peptidyl-prolyl cis-trans isomerase FKBP11
Q9NYL9	TMOD3	Tropomodulin-3
Q9NYM9	BET1L;GS15	BET1-like protein
Q9NYP7	ELOVL5;ELOVL2;PRO0530	Elongation of very long chain fatty acids protein 5
Q9NYQ3	HAO2;HAOX2;GIG16	Hydroxyacid oxidase 2
Q9NYQ7	CELSR3;CDHF11;EGFL1;FMI1;KIAA0812;MEGF2	Cadherin EGF LAG seven-pass G-type receptor 3
Q9NYR8	RDH8;PRRDH	Retinol dehydrogenase 8
Q9NYU2	UGGT1;GT;UGCGL1;UGGT;UGT1;UGTR	UDP-glucose:glycoprotein glucosyltransferase 1
Q9NYV4	CDK12;CRK7;CRKRS;KIAA0904	Cyclin-dependent kinase 12
Q9NZ01	TECR;GPSN2;SC2	Very-long-chain enoyl-CoA reductase
Q9NZ01-1	TECR 	Very-long-chain enoyl-CoA reductase
Q9NZ08	ERAP1;APPILS;ARTS1;KIAA0525;UNQ584/PRO1154	Endoplasmic reticulum aminopeptidase 1
Q9NZ43	USE1;USE1L;MDS032	Vesicle transport protein USE1
Q9NZ44	NA	Plasminogen receptor (KT)
Q9NZ45	CISD1;C10orf70;ZCD1;MDS029	CDGSH iron-sulfur domain-containing protein 1
Q9NZA1	CLIC5	Chloride intracellular channel protein 5
Q9NZB2	FAM120A;C9orf10;KIAA0183;OSSA	Constitutive coactivator of PPAR-gamma-like protein 1
Q9NZD2	GLTP	Glycolipid transfer protein
Q9NZI8	IGF2BP1;CRDBP;VICKZ1;ZBP1	Insulin-like growth factor 2 mRNA-binding protein 1
Q9NZI9	NA	FYN-binding protein
Q9NZJ7	MTCH1;PSAP;CGI-64;UNQ1871/PRO4314	Mitochondrial carrier homolog 1
Q9NZJ7-2	MTCH1	Isoform 2 of Mitochondrial carrier homolog 1
Q9NZM1	MYOF;FER1L3;KIAA1207	Myoferlin
Q9NZM1-6	MYOF	Isoform 6 of Myoferlin
Q9NZN4	EHD2;PAST2	EH domain-containing protein 2
Q9NZP7	NA	45 kDa calcium-binding protein
Q9NZR2	LRP1B;LRPDIT	Low-density lipoprotein receptor-related protein 1B
Q9NZT1	CALML5;CLSP	Calmodulin-like protein 5
Q9NZW5	MPP6;VAM1	MAGUK p55 subfamily member 6
Q9NZZ3	CHMP5;C9orf83;SNF7DC2;CGI-34;HSPC177;PNAS-114;PNAS-2	Charged multivesicular body protein 5
Q9P003	CNIH4;HSPC163	Protein cornichon homolog 4
Q9P015	MRPL15;HSPC145	39S ribosomal protein L15, mitochondrial
Q9P016	THYN1;THY28;HSPC144;MDS012;My0054	Thymocyte nuclear protein 1
Q9P032	NDUFAF4;C6orf66;HRPAP20;HSPC125;My013	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
Q9P035	PTPLAD1;BIND1;HACD3	Very-long-chain
Q9P0I2	EMC3;TMEM111	ER membrane protein complex subunit 3
Q9P0J0	NDUFA13;GRIM19;CDA016;CGI-39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
Q9P0K7	RAI14;KIAA1334;NORPEG	Ankycorbin
Q9P0L0	VAPA;VAP33	Vesicle-associated membrane protein-associated protein A
Q9P0L0-1	VAPA 	Vesicle-associated membrane protein-associated protein A
Q9P0M9	MRPL27;HSPC250	39S ribosomal protein L27, mitochondrial
Q9P0S3	ORMDL1;HSPC202	ORM1-like protein 1
Q9P0S9	TMEM14C;C6orf53;HSPC194	Transmembrane protein 14C
Q9P0T7	TMEM9;DERP4;HSPC186;PSEC0012;UNQ631/PRO1248	Transmembrane protein 9
Q9P0U1	TOMM7;TOM7;TOMM07;AD-014	Mitochondrial import receptor subunit TOM7 homolog
Q9P0V2	NA	Mitochondrial inner membrane protein
Q9P0X0	NA	Neutral alpha-glucosidase AB
Q9P114	NA	Cyclin-dependent kinase-like 3
Q9P121	NTM;IGLON2;NT;UNQ297/PRO337	Neurotrimin
Q9P129	NA	Calcium-binding mitochondrial carrier protein SCaMC-1
Q9P189	LRRC59	Leucine-rich repeat-containing protein 59
Q9P1W8	SIRPG;SIRPB2	Signal-regulatory protein gamma
Q9P1Z9	CCDC180;C9orf174;KIAA1529	Coiled-coil domain-containing protein 180
Q9P212	PLCE1;KIAA1516;PLCE;PPLC	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1
Q9P219	CCDC88C;DAPLE;KIAA1509	Protein Daple
Q9P265	DIP2B;KIAA1463	Disco-interacting protein 2 homolog B
Q9P273	TENM3;KIAA1455;ODZ3;TNM3	Teneurin-3
Q9P275	USP36;KIAA1453	Ubiquitin carboxyl-terminal hydrolase 36
Q9P289	MST4;MASK	Serine/threonine-protein kinase MST4
Q9P291	ARMCX1;ALEX1;AD032	Armadillo repeat-containing X-linked protein 1
Q9P2B2	PTGFRN;CD9P1;EWIF;FPRP;KIAA1436	Prostaglandin F2 receptor negative regulator
Q9P2D1	CHD7;KIAA1416	Chromodomain-helicase-DNA-binding protein 7
Q9P2D3	HEATR5B;KIAA1414	HEAT repeat-containing protein 5B
Q9P2E5	CHPF2;CHSY3;CSGLCAT;KIAA1402;UNQ299/PRO339	Chondroitin sulfate glucuronyltransferase
Q9P2E9	RRBP1;KIAA1398	Ribosome-binding protein 1
Q9P2F8	SIPA1L2;KIAA1389	Signal-induced proliferation-associated 1-like protein 2
Q9P2G4	MAP10;KIAA1383;MTR120	Microtubule-associated protein 10
Q9P2I4	NA	Neutral cholesterol ester hydrolase 1
Q9P2J5	LARS;KIAA1352	Leucine--tRNA ligase, cytoplasmic
Q9P2K1	CC2D2A;KIAA1345	Coiled-coil and C2 domain-containing protein 2A
Q9P2P5	HECW2;KIAA1301;NEDL2	E3 ubiquitin-protein ligase HECW2
Q9P2P6	STARD9;KIAA1300	StAR-related lipid transfer protein 9
Q9P2R3	ANKFY1;ANKHZN;KIAA1255	Ankyrin repeat and FYVE domain-containing protein 1
Q9P2W9	STX18;GIG9	Syntaxin-18
Q9P2X0	DPM3	Dolichol-phosphate mannosyltransferase subunit 3
Q9UBB4	ATXN10;SCA10	Ataxin-10
Q9UBE0	SAE1;AOS1;SUA1;UBLE1A	SUMO-activating enzyme subunit 1
Q9UBF2	COPG2	Coatomer subunit gamma-2
Q9UBG0	MRC2;CLEC13E;ENDO180;KIAA0709;UPARAP	C-type mannose receptor 2
Q9UBH6	XPR1;SYG1;XR	Xenotropic and polytropic retrovirus receptor 1
Q9UBI6	GNG12	Guanine nucleotide-binding protein G subunit gamma-12
Q9UBJ2	ABCD2;ALD1;ALDL1;ALDR;ALDRP	ATP-binding cassette sub-family D member 2
Q9UBM7	DHCR7;D7SR	7-dehydrocholesterol reductase
Q9UBN4	TRPC4	Short transient receptor potential channel 4
Q9UBQ0	VPS29;DC15;DC7;MDS007	Vacuolar protein sorting-associated protein 29
Q9UBQ5	EIF3K;EIF3S12;ARG134;HSPC029;MSTP001;PTD001	Eukaryotic translation initiation factor 3 subunit K
Q9UBQ6	EXTL2;EXTR2	Exostosin-like 2
Q9UBS4	DNAJB11;EDJ;ERJ3;HDJ9;PSEC0121;UNQ537/PRO1080	DnaJ homolog subfamily B member 11
Q9UBU6	FAM8A1;AHCP	Protein FAM8A1
Q9UBU9	NXF1;TAP	Nuclear RNA export factor 1
Q9UBV2	SEL1L;TSA305;UNQ128/PRO1063	Protein sel-1 homolog 1
Q9UBV2-1	SEL1L 	Protein sel-1 homolog 1
Q9UBV8	PEF1;ABP32;UNQ1845/PRO3573	Peflin
Q9UBX3	SLC25A10;DIC	Mitochondrial dicarboxylate carrier
Q9UBX3-1	SLC25A10 	Mitochondrial dicarboxylate carrier
Q9UDW1	UQCR10;UCRC;HSPC119	Cytochrome b-c1 complex subunit 9
Q9UDW1-1	UQCR10 	Cytochrome b-c1 complex subunit 9
Q9UDX0	NA	2-oxoglutarate dehydrogenase, mitochondrial
Q9UEU0	VTI1B;VTI1;VTI1L;VTI1L1;VTI2	Vesicle transport through interaction with t-SNAREs homolog 1B
Q9UEU0-2	VTI1B	Isoform Short of Vesicle transport through interaction with t-SNAREs homolog 1B
Q9UEU1	NA	Sequestosome-1
Q9UEW8	STK39;SPAK	STE20/SPS1-related proline-alanine-rich protein kinase
Q9UEY2	HLA-Cw*07	Leucocyte antigen C
Q9UEY8	ADD3;ADDL	Gamma-adducin
Q9UF11	PLEKHB1;EVT1;KPL1;PHR1;PHRET1	Pleckstrin homology domain-containing family B member 1
Q9UF42	NA	Kinase D-interacting substrate of 220 kDa
Q9UFE4	CCDC39	Coiled-coil domain-containing protein 39
Q9UFG5	C19orf25	UPF0449 protein C19orf25
Q9UFH2	DNAH17;DNAHL1;DNEL2	Dynein heavy chain 17, axonemal
Q9UG22	GIMAP2;IMAP2	GTPase IMAP family member 2
Q9UGC6	RGS17	Regulator of G-protein signaling 17
Q9UGL1	KDM5B;JARID1B;PLU1;RBBP2H1	Lysine-specific demethylase 5B
Q9UGM6	WARS2	Tryptophan--tRNA ligase, mitochondrial
Q9UGP8	SEC63;SEC63L	Translocation protein SEC63 homolog
Q9UH52	NA	Mitochondrial import receptor subunit TOM6 homolog
Q9UH62	ARMCX3;ALEX3;BM-017;UNQ2517/PRO6007	Armadillo repeat-containing X-linked protein 3
Q9UH65	SWAP70;KIAA0640;HSPC321	Switch-associated protein 70
Q9UH99	SUN2;FRIGG;KIAA0668;RAB5IP;UNC84B	SUN domain-containing protein 2
Q9UHA4	LAMTOR3;MAP2K1IP1;MAPKSP1;PRO2783	Ragulator complex protein LAMTOR3
Q9UHB6	LIMA1;EPLIN;SREBP3;PP624	LIM domain and actin-binding protein 1
Q9UHB6-4	LIMA1	Isoform 4 of LIM domain and actin-binding protein 1
Q9UHD1	CHORDC1;CHP1	Cysteine and histidine-rich domain-containing protein 1
Q9UHD2	TBK1;NAK	Serine/threonine-protein kinase TBK1
Q9UHD8	SEPT9;KIAA0991;MSF	Septin-9
Q9UHG3	PCYOX1;KIAA0908;PCL1;UNQ597/PRO1183	Prenylcysteine oxidase 1
Q9UHI6	DDX20;DP103;GEMIN3	Probable ATP-dependent RNA helicase DDX20
Q9UHN6	TMEM2;KIAA1412	Transmembrane protein 2
Q9UHQ4	BCAP29;BAP29	B-cell receptor-associated protein 29
Q9UHQ9	CYB5R1;NQO3A2;UNQ3049/PRO9865	NADH-cytochrome b5 reductase 1
Q9UHV9	PFDN2;PFD2;HSPC231	Prefoldin subunit 2
Q9UHX1	PUF60;FIR;ROBPI;SIAHBP1	Poly(U)-binding-splicing factor PUF60
Q9UHX1-4	PUF60	Isoform 4 of Poly(U)-binding-splicing factor PUF60
Q9UHY7	ENOPH1;MASA;MSTP145	Enolase-phosphatase E1
Q9UI09	NDUFA12;DAP13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
Q9UI12	ATP6V1H;CGI-11	V-type proton ATPase subunit H
Q9UI12-2	ATP6V1H	Isoform 2 of V-type proton ATPase subunit H
Q9UI30	TRMT112;AD-001;HSPC152;HSPC170	tRNA methyltransferase 112 homolog
Q9UIA9	XPO7;KIAA0745;RANBP16	Exportin-7
Q9UID6	ZNF639;ZASC1	Zinc finger protein 639
Q9UII2	ATPIF1;ATPI	ATPase inhibitor, mitochondrial
Q9UIJ7	AK3;AK3L1;AK6;AKL3L	GTP:AMP phosphotransferase AK3, mitochondrial
Q9UIL1	SCOC;SCOCO;HRIHFB2072	Short coiled-coil protein
Q9UIQ6	LNPEP;OTASE	Leucyl-cystinyl aminopeptidase
Q9UIQ7	NA	Leucyl-cystinyl aminopeptidase
Q9UIV1	CNOT7;CAF1	CCR4-NOT transcription complex subunit 7
Q9UIW2	PLXNA1;NOV;PLXN1	Plexin-A1
Q9UJN8	NA	Putative multiple coagulation factor deficiency protein 2-like protein
Q9UJS0	SLC25A13;ARALAR2	Calcium-binding mitochondrial carrier protein Aralar2
Q9UJU6	DBNL;CMAP;SH3P7;PP5423	Drebrin-like protein
Q9UJZ1	STOML2;SLP2;HSPC108	Stomatin-like protein 2, mitochondrial
Q9UK10	ZNF225	Zinc finger protein 225
Q9UK41	VPS28	Vacuolar protein sorting-associated protein 28 homolog
Q9UKA4	AKAP11;AKAP220;KIAA0629	A-kinase anchor protein 11
Q9UKB1	FBXW11;BTRCP2;FBW1B;FBXW1B;KIAA0696	F-box/WD repeat-containing protein 11
Q9UKF2	ADAM30;UNQ2509/PRO5997	Disintegrin and metalloproteinase domain-containing protein 30
Q9UKF5	ADAM29	Disintegrin and metalloproteinase domain-containing protein 29
Q9UKK9	NUDT5;HSPC115	ADP-sugar pyrophosphatase
Q9UKM7	MAN1B1;UNQ747/PRO1477	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
Q9UKR5	C14orf1;AD-011;HSPC288;x0006	Probable ergosterol biosynthetic protein 28
Q9UKS6	PACSIN3	Protein kinase C and casein kinase substrate in neurons protein 3
Q9UKU4	NA	Estradiol 17-beta-dehydrogenase 11
Q9UKX5	ITGA11;MSTP018	Integrin alpha-11
Q9UKY7	CDV3;H41	Protein CDV3 homolog
Q9UL01	DSE;SART2	Dermatan-sulfate epimerase
Q9UL16	CCDC19;NESG1	Coiled-coil domain-containing protein 19, mitochondrial
Q9UL25	RAB21;KIAA0118	Ras-related protein Rab-21
Q9UL26	RAB22A;RAB22	Ras-related protein Rab-22A
Q9UL46	PSME2	Proteasome activator complex subunit 2
Q9UL62	TRPC5;TRP5	Short transient receptor potential channel 5
Q9ULC3	RAB23;HSPC137	Ras-related protein Rab-23
Q9ULD0	OGDHL;KIAA1290	2-oxoglutarate dehydrogenase-like, mitochondrial
Q9ULE3	DENND2A;KIAA1277	DENN domain-containing protein 2A
Q9ULE7	NA	ATPase family AAA domain-containing protein 3B
Q9ULF2	NA	Poly [ADP-ribose] polymerase 14
Q9ULF5	SLC39A10;KIAA1265;ZIP10	Zinc transporter ZIP10
Q9ULG6	CCPG1;CCP8;CPR8;KIAA1254	Cell cycle progression protein 1
Q9ULH0	KIDINS220;ARMS;KIAA1250	Kinase D-interacting substrate of 220 kDa
Q9ULH0-4	KIDINS220	Isoform 4 of Kinase D-interacting substrate of 220 kDa
Q9ULJ2	NA	Extended synaptotagmin-2
Q9ULN9	NA	Endoplasmic reticulum-Golgi intermediate compartment protein 1
Q9ULQ0	STRIP2;FAM40B;KIAA1170	Striatin-interacting protein 2
Q9ULQ1	TPCN1;KIAA1169;TPC1	Two pore calcium channel protein 1
Q9ULT0	TTC7A;KIAA1140;TTC7	Tetratricopeptide repeat protein 7A
Q9ULV0	MYO5B;KIAA1119	Unconventional myosin-Vb
Q9ULV4	CORO1C;CRN2;CRNN4	Coronin-1C
Q9ULZ3	PYCARD;ASC;CARD5;TMS1	Apoptosis-associated speck-like protein containing a CARD
Q9UM00	TMCO1;TMCC4;PNAS-10;PNAS-136;UNQ151/PRO177	Transmembrane and coiled-coil domain-containing protein 1
Q9UM00-2	TMCO1	Isoform 2 of Transmembrane and coiled-coil domain-containing protein 1
Q9UM07	PADI4;PADI5;PDI5	Protein-arginine deiminase type-4
Q9UM54	MYO6;KIAA0389	Unconventional myosin-VI
Q9UMR5	PPT2	Lysosomal thioesterase PPT2
Q9UMR9	NA	ATP-dependent zinc metalloprotease YME1L1
Q9UMS0	NFU1;HIRIP5;CGI-33	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial
Q9UMS4	PRPF19;NMP200;PRP19;SNEV	Pre-mRNA-processing factor 19
Q9UMV1	C4B	Complement C4B1a
Q9UMX0	UBQLN1;DA41;PLIC1	Ubiquilin-1
Q9UMY4	SNX12	Sorting nexin-12
Q9UN36	NDRG2;KIAA1248;SYLD	Protein NDRG2
Q9UN37	VPS4A;VPS4	Vacuolar protein sorting-associated protein 4A
Q9UN72	PCDHA7;CNRS4	Protocadherin alpha-7
Q9UN74	PCDHA4	Protocadherin alpha-4
Q9UN86	G3BP2;KIAA0660	Ras GTPase-activating protein-binding protein 2
Q9UNE7	STUB1;CHIP;PP1131	E3 ubiquitin-protein ligase CHIP
Q9UNE7-2	STUB1	Isoform 2 of E3 ubiquitin-protein ligase CHIP
Q9UNF1	MAGED2;BCG1	Melanoma-associated antigen D2
Q9UNH6	SNX7	Sorting nexin-7
Q9UNK0	STX8	Syntaxin-8
Q9UNL2	SSR3;TRAPG	Translocon-associated protein subunit gamma
Q9UNN8	PROCR;EPCR	Endothelial protein C receptor
Q9UNQ0	ABCG2;ABCP;BCRP;BCRP1;MXR	ATP-binding cassette sub-family G member 2
Q9UNR6	ERG1;SQLE;hCG_14874	Squalene epoxidase
Q9UNS1	TIMELESS;TIM;TIM1;TIMELESS1	Protein timeless homolog
Q9UNX3	RPL26L1;RPL26P1	60S ribosomal protein L26-like 1
Q9UNZ2	NSFL1C;UBXN2C	NSFL1 cofactor p47
Q9UP83	COG5;GOLTC1;GTC90	Conserved oligomeric Golgi complex subunit 5
Q9UP95	SLC12A4;KCC1	Solute carrier family 12 member 4
Q9UPA5	BSN;KIAA0434;ZNF231	Protein bassoon
Q9UPH9	NA	Phosphatidylinositol 3-kinase regulatory subunit beta
Q9UPI0	NA	Microtubule-associated serine/threonine-protein kinase 3
Q9UPN3	MACF1;ABP620;ACF7;KIAA0465;KIAA1251	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5
Q9UPN4	CEP131;AZI1;KIAA1118	Centrosomal protein of 131 kDa
Q9UPN7	PPP6R1;KIAA1115;PP6R1;SAPS1	Serine/threonine-protein phosphatase 6 regulatory subunit 1
Q9UPP4	NA	TBC1 domain family member 1
Q9UPS8	ANKRD26;KIAA1074	Ankyrin repeat domain-containing protein 26
Q9UPU3	SORCS3;KIAA1059	VPS10 domain-containing receptor SorCS3
Q9UPY3	DICER1;DICER;HERNA;KIAA0928	Endoribonuclease Dicer
Q9UPZ3	HPS5;AIBP63;KIAA1017	Hermansky-Pudlak syndrome 5 protein
Q9UQ26	RIMS2;KIAA0751;RAB3IP3;RIM2	Regulating synaptic membrane exocytosis protein 2
Q9UQ35	SRRM2;KIAA0324;SRL300;SRM300;HSPC075	Serine/arginine repetitive matrix protein 2
Q9UQ80	PA2G4;EBP1	Proliferation-associated protein 2G4
Q9UQ90	SPG7;CAR;CMAR;PGN	Paraplegin
Q9UQE7	SMC3;BAM;BMH;CSPG6;SMC3L1	Structural maintenance of chromosomes protein 3
Q9UQM7	CAMK2A;CAMKA;KIAA0968	Calcium/calmodulin-dependent protein kinase type II subunit alpha
Q9UQQ1	NAALADL1;NAALADASEL;NAALADL	N-acetylated-alpha-linked acidic dipeptidase-like protein
Q9UQT9	HLA-DRB3	Leucocyte antigen DR52 beta 1 chain
Q9VYG3	CG4332;Dmel_CG4332	CG4332
Q9W790	TCP1;CCT1	T-complex protein 1 subunit alpha
Q9WV34	Mpp2;Dlgh2	MAGUK p55 subfamily member 2
Q9XZ53	OstStt3;CG7748;Dmel_CG7748	Oligosaccharyl transferase 3
Q9Y224	C14orf166;CGI-99	UPF0568 protein C14orf166
Q9Y228	TRAF3IP3;T3JAM	TRAF3-interacting JNK-activating modulator
Q9Y230	RUVBL2;INO80J;TIP48;TIP49B;CGI-46	RuvB-like 2
Q9Y241	HIGD1A;HIG1;HSPC010	HIG1 domain family member 1A, mitochondrial
Q9Y244	POMP;C13orf12;UMP1;HSPC014;HSPC036;PNAS-110	Proteasome maturation protein
Q9Y265	RUVBL1;INO80H;NMP238;TIP49;TIP49A	RuvB-like 1
Q9Y265-1	RUVBL1 	RuvB-like 1
Q9Y266	NUDC	Nuclear migration protein nudC
Q9Y276	BCS1L;BCS1	Mitochondrial chaperone BCS1
Q9Y277	VDAC3	Voltage-dependent anion-selective channel protein 3
Q9Y277-1	VDAC3 	Voltage-dependent anion-selective channel protein 3
Q9Y278	HS3ST2;3OST2;UNQ2442/PRO5004	Heparan sulfate glucosamine 3-O-sulfotransferase 2
Q9Y281	CFL2	Cofilin-2
Q9Y285	FARSA;FARS;FARSL;FARSLA	Phenylalanine--tRNA ligase alpha subunit
Q9Y287	ITM2B;BRI;BRI2	Integral membrane protein 2B
Q9Y289	SLC5A6;SMVT	Sodium-dependent multivitamin transporter
Q9Y295	DRG1;NEDD3	Developmentally-regulated GTP-binding protein 1
Q9Y2A5	NA	Kalirin
Q9Y2B0	CNPY2;MSAP;TMEM4;ZSIG9;UNQ1943/PRO4426	Protein canopy homolog 2
Q9Y2D5	AKAP2;KIAA0920;PRKA2	A-kinase anchor protein 2
Q9Y2G3	ATP11B;ATPIF;ATPIR;KIAA0956	Probable phospholipid-transporting ATPase IF
Q9Y2G9	SBNO2;KIAA0963	Protein strawberry notch homolog 2
Q9Y2H6	FNDC3A;FNDC3;HUGO;KIAA0970	Fibronectin type-III domain-containing protein 3A
Q9Y2H9	MAST1;KIAA0973;SAST	Microtubule-associated serine/threonine-protein kinase 1
Q9Y2J4	AMOTL2;KIAA0989	Angiomotin-like protein 2
Q9Y2K1	ZBTB1;KIAA0997	Zinc finger and BTB domain-containing protein 1
Q9Y2K3	MYH15;KIAA1000	Myosin-15
Q9Y2K6	USP20;KIAA1003;LSFR3A;VDU2	Ubiquitin carboxyl-terminal hydrolase 20
Q9Y2P7	ZNF256;BMZF3	Zinc finger protein 256
Q9Y2Q0	ATP8A1;ATPIA	Phospholipid-transporting ATPase IA
Q9Y2Q3	GSTK1;HDCMD47P	Glutathione S-transferase kappa 1
Q9Y2Q5	LAMTOR2;MAPBPIP;ROBLD3;HSPC003	Ragulator complex protein LAMTOR2
Q9Y2Q5-1	LAMTOR2 	Ragulator complex protein LAMTOR2
Q9Y2R0	COA3;CCDC56;MITRAC12;HSPC009	Cytochrome c oxidase assembly factor 3 homolog, mitochondrial
Q9Y2R5	MRPS17;RPMS17;HSPC011	28S ribosomal protein S17, mitochondrial
Q9Y2R9	MRPS7	28S ribosomal protein S7, mitochondrial
Q9Y2S7	POLDIP2;PDIP38;POLD4;HSPC017	Polymerase delta-interacting protein 2
Q9Y2T3	GDA;KIAA1258	Guanine deaminase
Q9Y2T6	GPR55	G-protein coupled receptor 55
Q9Y2U8	LEMD3;MAN1	Inner nuclear membrane protein Man1
Q9Y2V2	CARHSP1	Calcium-regulated heat stable protein 1
Q9Y2W1	THRAP3;TRAP150	Thyroid hormone receptor-associated protein 3
Q9Y2X3	NOP58;NOL5;NOP5;HSPC120	Nucleolar protein 58
Q9Y2X7	GIT1	ARF GTPase-activating protein GIT1
Q9Y2Z0	SUGT1	Suppressor of G2 allele of SKP1 homolog
Q9Y302	NA	Golgi pH regulator B
Q9Y320	TMX2;TXNDC14;CGI-31;My009;PIG26;PSEC0045;UNQ237/PRO270	Thioredoxin-related transmembrane protein 2
Q9Y320-2	TMX2	Isoform 2 of Thioredoxin-related transmembrane protein 2
Q9Y333	LSM2;C6orf28;G7B	U6 snRNA-associated Sm-like protein LSm2
Q9Y343	SNX24;SBBI31;UNQ654/PRO1284	Sorting nexin-24
Q9Y363	NA	Saccharopine dehydrogenase-like oxidoreductase
Q9Y383	LUC7L2;CGI-59;CGI-74	Putative RNA-binding protein Luc7-like 2
Q9Y391	NA	Retinol dehydrogenase 11
